CHEATMAN
994900
1000000
0
5
28
0,0,3,2,149,36,0,0,143,14,0,0,149,169
1,0,2,0,102,2,1,0,100,21,0,0,104,152
2,0,4,1,284,4,2,0,230,11,0,0,201,262
3,2,8,0,69,1,5,0,133,17,2,0,156,132
4,2,9,0,19,5,3,0,122,16,2,0,144,175
5,0,0,0,206,14,0,0,147,14,0,1,83,209
6,1,3,0,147,18,5,0,128,18,1,0,149,166
7,1,0,0,193,15,0,0,145,15,1,0,79,201
8,1,6,0,117,11,0,0,146,14,1,0,174,125
9,1,7,0,201,4,6,0,171,9,1,0,159,201
10,2,7,1,211,3,6,0,169,10,2,0,164,206
11,1,1,0,195,6,2,1,219,11,1,1,149,162
12,0,4,0,280,5,3,0,115,17,0,0,165,132
13,2,3,0,143,18,4,0,180,15,2,0,83,203
14,2,3,0,147,19,4,0,176,15,2,0,179,132
15,1,2,0,99,2,0,1,145,15,1,0,96,144
16,2,0,1,190,14,1,0,97,21,2,0,167,128
17,1,8,0,73,0,4,1,181,15,1,1,209,251
18,0,6,0,122,12,0,1,144,15,0,0,142,162
19,2,9,1,19,6,2,0,228,11,2,1,76,215
20,1,0,1,205,15,3,0,119,16,1,2,150,162
21,1,1,0,186,7,6,2,162,9,1,1,159,197
22,2,2,1,101,2,1,2,100,21,2,0,98,152
23,1,3,2,153,37,2,0,219,11,1,0,158,129
24,0,7,0,214,4,4,1,185,14,0,1,145,169
25,0,5,2,166,25,5,1,124,17,0,0,153,130
26,0,6,1,116,12,0,1,147,14,0,1,80,215
27,0,10,0,252,29,7,0,239,24,0,0,225,260
1
0,0,204,15
0
0
